,geo,Year,CPI,Immigrants,Population,Housing Index,GDP,emigration,unemployment,total_deaths,Exports,Imports,Immigrants_pcap,GDP_pcap,Emigrants_pcap,Deaths_pcap,Exports_pcap,Imports_pcap
31,Germany,2023,110.343636,1022834.336364,84342742.827273,157.002727,3792488.272727,681967.972727,1.832727,1027516.509091,1418545.212727,1191954.153636,0.012214,45134.004196,0.008165,0.012204,0.016873,0.014177
32,Germany,2024,111.601818,1044792.345455,84685512.763636,163.456364,3886655.818182,718956.981818,1.694545,1042406.945455,1448594.441818,1220060.06,0.012445,46125.199615,0.008597,0.012339,0.017179,0.014469
33,Germany,2025,112.86,1066750.354545,85028282.7,169.91,3980823.363636,755945.990909,1.556364,1057297.381818,1478643.670909,1248165.966364,0.012677,47116.395034,0.009029,0.012473,0.017485,0.014761
34,Germany,2026,114.118182,1088708.363636,85371052.636364,176.363636,4074990.909091,792935.0,1.418182,1072187.818182,1508692.9,1276271.872727,0.012908,48107.590454,0.009461,0.012608,0.017791,0.015053
35,Germany,2027,115.376364,1110666.372727,85713822.572727,182.817273,4169158.454545,829924.009091,1.28,1087078.254545,1538742.129091,1304377.779091,0.01314,49098.785873,0.009893,0.012742,0.018097,0.015345
36,Denmark,2022,104.64,66765.945455,5901406.563636,134.925273,337631.870909,59183.854545,3.107273,55956.945455,103296.521818,96832.236364,0.011344,57369.966341,0.010071,0.009482,0.017539,0.016456
37,Denmark,2023,105.293636,67224.390909,5932046.763636,139.709636,346266.482727,60693.209091,2.91,56369.8,105545.73,99522.118182,0.011369,58610.89755,0.01029,0.009504,0.017847,0.01685
38,Denmark,2024,105.947273,67682.836364,5962686.963636,144.494,354901.094545,62202.563636,2.712727,56782.654545,107794.938182,102212.0,0.011393,59851.82876,0.010509,0.009525,0.018155,0.017244
39,Denmark,2025,106.600909,68141.281818,5993327.163636,149.278364,363535.706364,63711.918182,2.515455,57195.509091,110044.146364,104901.881818,0.011418,61092.75997,0.010729,0.009547,0.018463,0.017638
40,Denmark,2026,107.254545,68599.727273,6023967.363636,154.062727,372170.318182,65221.272727,2.318182,57608.363636,112293.354545,107591.763636,0.011443,62333.691179,0.010948,0.009569,0.018771,0.018032
41,Denmark,2027,107.908182,69058.172727,6054607.563636,158.847091,380804.93,66730.627273,2.120909,58021.218182,114542.562727,110281.645455,0.011468,63574.622389,0.011168,0.00959,0.019079,0.018426
42,Estonia,2022,115.272909,23357.036364,1326688.618182,151.379636,31255.418182,14748.636364,3.065455,16802.581818,16080.936364,17810.950909,0.017613,23553.578684,0.011121,0.012663,0.012116,0.013421
43,Estonia,2023,117.265364,25223.345455,1327491.463636,158.992455,32642.713636,15521.136364,2.726364,16979.527273,16540.236364,18307.756364,0.019016,24589.110278,0.0117,0.012789,0.012456,0.013788
44,Estonia,2024,119.257818,27089.654545,1328294.309091,166.605273,34030.009091,16293.636364,2.387273,17156.472727,16999.536364,18804.561818,0.020419,25624.641873,0.012278,0.012915,0.012796,0.014156
