,geo,TIME_PERIOD,CPI,Immigrants,Population,Housing Index,GDP,emigration,unemployment,total_deaths,Exports,Imports
983,Slovenia,2011,95.81,14083.0,2052843.0,120.39,37058.6,12024.0,5.1,18699.0,24915.1,25525.5
984,Slovenia,2012,98.5,15022.0,2057159.0,112.09,36253.3,14378.0,5.6,19257.0,25033.2,24933.6
985,Slovenia,2013,100.4,13871.0,2059953.0,106.21,36454.3,13384.0,6.3,19334.0,25614.8,25128.7
986,Slovenia,2014,100.77,13846.0,2061980.0,99.2,37634.3,14336.0,6.1,18886.0,27075.0,25551.1
987,Slovenia,2015,100.0,15420.0,2063531.0,100.0,38852.6,14913.0,5.7,19834.0,28792.6,26887.4
988,Slovenia,2016,99.85,16623.0,2065042.0,103.25,40443.2,15572.0,5.0,19689.0,29742.4,27597.5
989,Slovenia,2017,101.4,18808.0,2066388.0,111.79,43011.3,17555.0,4.2,20509.0,34007.2,31917.2
990,Slovenia,2018,103.36,28455.0,2073894.0,121.55,45876.3,13527.0,3.3,20485.0,37423.0,35803.3
991,Slovenia,2019,105.11,31319.0,2088385.0,129.69,48582.3,15106.0,2.9,20588.0,40147.2,39318.8
992,Slovenia,2020,104.82,36110.0,2102419.0,135.66,47044.9,17745.0,3.2,24016.0,39246.8,36913.6
993,Slovenia,2021,106.97,23624.0,2108079.0,151.32,52278.8,21144.0,3.1,23261.0,48544.4,48781.3
1010,Slovakia,2011,95.43,4829.0,5398384.0,95.33,71785.8,1863.0,8.7,51903.0,57297.3,57601.7
1011,Slovakia,2012,99.0,5419.0,5407579.0,92.75,73649.3,2003.0,9.0,52437.0,62792.1,60251.8
1012,Slovakia,2013,100.45,5149.0,5413393.0,93.59,74492.8,2770.0,9.2,52089.0,64514.1,61646.3
1013,Slovakia,2014,100.35,5357.0,5418649.0,94.91,76354.5,3644.0,8.5,51346.0,64913.1,61404.6
1014,Slovakia,2015,100.0,6997.0,5423801.0,100.0,80126.0,3870.0,7.5,53826.0,67764.5,65695.7
1015,Slovakia,2016,99.52,7686.0,5430798.0,106.7,81265.2,3801.0,6.4,52351.0,69606.5,67474.4
1016,Slovakia,2017,100.9,7188.0,5439232.0,112.99,84669.9,3466.0,5.4,53914.0,73790.1,72191.9
1017,Slovakia,2018,103.46,7253.0,5446771.0,121.32,89874.7,3298.0,4.3,54293.0,79136.9,78727.4
1018,Slovakia,2019,106.33,7016.0,5454147.0,132.39,94429.7,3384.0,3.8,53234.0,79962.0,80407.4
1019,Slovakia,2020,108.47,6775.0,5458827.0,145.06,93444.1,2428.0,4.4,59089.0,75586.2,73700.2
1020,Slovakia,2021,111.53,5733.0,5447247.0,154.33,100255.7,3395.0,4.5,73461.0,87868.1,87904.7
